----------------------------------------
Global Perplexity over 521 songs: 1.1616
----------------------------------------

Holborne_Heigh_Ho_Holiday: tokens=272, perplexity=1.1828
Holborne_The_Farewell: tokens=577, perplexity=1.2335
Jobim_Insensatez: tokens=665, perplexity=1.1142
Jobim_Luiza: tokens=852, perplexity=1.1617
Lauro_Nino: tokens=508, perplexity=1.1768
Lauro_Valse_Venezolano_No4: tokens=893, perplexity=1.1019
Lauro_Virgilio: tokens=1023, perplexity=1.0867
Lawes_Suite_Alman: tokens=454, perplexity=1.2282
Lawes_Suite_Corant1: tokens=364, perplexity=1.2537
Lawes_Suite_Corant2: tokens=454, perplexity=1.2730
Lawes_Why_So_Pale: tokens=160, perplexity=1.2325
LeRoy_Cinquieme_Branle_Bourgogne: tokens=88, perplexity=1.2969
Leclercq_Mediane: tokens=864, perplexity=1.3766
Leclercq_Parallele: tokens=352, perplexity=1.5246
Leclercq_Six_Couleurs_Arlequin: tokens=356, perplexity=1.2365
Leclercq_Six_Couleurs_Cyclamen: tokens=268, perplexity=1.2251
Leclercq_Six_Couleurs_Noir: tokens=198, perplexity=1.4359
Leclercq_Six_Couleurs_Orange: tokens=266, perplexity=1.1784
Leclercq_Six_Couleurs_Pourpre: tokens=221, perplexity=1.2019
Leclercq_Six_Couleurs_Turquoise: tokens=199, perplexity=1.2517
Legnani_Caprice_No13_Op20: tokens=430, perplexity=1.1633
Legnani_Caprice_No24_Op20: tokens=694, perplexity=1.0642
Legnani_Caprice_No3_Op20: tokens=407, perplexity=1.1181
Legnani_Caprice_No5_Op250: tokens=482, perplexity=1.0632
Legnani_Recueil_Melodies_Modernes_Deuxieme_Op222_No2: tokens=1023, perplexity=1.1877
Llobet_Mazurka: tokens=1023, perplexity=1.1775
Llobet_Prelude_Original: tokens=154, perplexity=1.3518
Logy_Partita_Am_4Cappricio(Corrente): tokens=246, perplexity=1.0962
Losy_Suite_Do_Majeur_Gigue: tokens=428, perplexity=1.1645
Losy_Suite_No1_Gavotte: tokens=274, perplexity=1.1328
Louise_Fantaisie: tokens=1023, perplexity=1.1868
Louise_Gigue: tokens=1023, perplexity=1.1867
Louise_Gymnopedie: tokens=287, perplexity=1.0986
Louise_Reconciliation: tokens=1023, perplexity=1.0471
Lucia_Rio_Ancho: tokens=1023, perplexity=1.1832
Machado_Baiaozinho: tokens=407, perplexity=1.0557
Machado_Caterete: tokens=102, perplexity=1.1561
Machado_Estudio_No1: tokens=607, perplexity=1.1950
Machado_Frevo: tokens=746, perplexity=1.0435
Machado_Marchinha_de_carnaval: tokens=281, perplexity=1.0988
Machado_Pacoca: tokens=1023, perplexity=1.1050
Machado_duos_para_violao_Chorinho_la_mineur: tokens=251, perplexity=1.1403
Machado_duos_para_violao_Modinha: tokens=233, perplexity=1.1326
Machado_duos_para_violao_Sambinha: tokens=736, perplexity=1.0630
Maertz_Satanella_(Pugni)_Op8_No28: tokens=1023, perplexity=1.2060
