----------------------------------------
Global Perplexity over 521 songs: 1.6624
----------------------------------------

Logy_Partita_Am_4Cappricio(Corrente): tokens=246, perplexity=1.5057
Losy_Suite_Do_Majeur_Gigue: tokens=428, perplexity=1.6070
Losy_Suite_No1_Gavotte: tokens=274, perplexity=1.4766
Louise_Fantaisie: tokens=1023, perplexity=1.6479
Louise_Gigue: tokens=1023, perplexity=1.6688
Louise_Gymnopedie: tokens=287, perplexity=1.5024
Louise_Reconciliation: tokens=1018, perplexity=2.0060
Lucia_Rio_Ancho: tokens=1023, perplexity=2.0216
Machado_Baiaozinho: tokens=407, perplexity=2.4498
Machado_Caterete: tokens=102, perplexity=1.5171
Machado_Estudio_No1: tokens=607, perplexity=1.7750
Machado_Frevo: tokens=746, perplexity=1.9389
Machado_Marchinha_de_carnaval: tokens=281, perplexity=2.0051
Machado_Pacoca: tokens=1023, perplexity=1.6658
Machado_duos_para_violao_Chorinho_la_mineur: tokens=251, perplexity=1.7372
Machado_duos_para_violao_Modinha: tokens=233, perplexity=1.7598
Machado_duos_para_violao_Sambinha: tokens=736, perplexity=1.6072
Maertz_Satanella_(Pugni)_Op8_No28: tokens=1023, perplexity=1.6266
Mendelssohn_Canzonetta_Op12: tokens=1023, perplexity=1.7147
Mertz_20Die_vier_Haimonskinder_Op8_No9: tokens=1023, perplexity=1.8086
Mertz_Anna_Bolena_Op8_No6%20: tokens=1023, perplexity=1.6263
Mertz_Bardenklange_Polonaise2_Op13_No12: tokens=734, perplexity=1.6513
Mertz_Bardenklange_Romanze_Op13_No10: tokens=399, perplexity=1.8441
Mertz_Fantaisie_originale_Op65_No2: tokens=1023, perplexity=1.7990
Mertz_Fantasia_Trovatore_Verdi_Op.86: tokens=1023, perplexity=1.4869
Mertz_Gondolier_Op65_No3: tokens=1023, perplexity=1.8283
Mertz_Landler_No5_Op9: tokens=386, perplexity=1.4568
Mertz_Moses_Rossini_Op8_No24: tokens=1023, perplexity=1.4286
Mertz_Postillon_Lonjumeaux_(Adam)_Op8_No13%20: tokens=1019, perplexity=1.7723
Milan_Pavana_No6: tokens=274, perplexity=1.6676
Molino_12_valses_Op9_No10: tokens=280, perplexity=1.5011
Molino_Op5_No4: tokens=1023, perplexity=1.4955
Molino_Rondo_La_Majeur: tokens=1023, perplexity=1.3089
Mompou_Suite_Compostelana_1Preludio: tokens=544, perplexity=1.6405
Mompou_Suite_Compostelana_2Coral: tokens=371, perplexity=1.4502
Mompou_Suite_Compostelana_3Cuna: tokens=481, perplexity=1.3883
Mompou_Suite_Compostelana_4Recitativo: tokens=464, perplexity=1.5218
Mompou_Suite_Compostelana_5Cancion: tokens=569, perplexity=1.5011
Mompou_Suite_Compostelana_6Muneira: tokens=1023, perplexity=1.4858
Montana_Suite_Colombiana_No2_4Porro: tokens=943, perplexity=1.9708
Morel_Danza_Brasileira: tokens=901, perplexity=1.8559
Morel_Misionera: tokens=1022, perplexity=1.6190
Moreno-Torroba_Aires_Mancha_3Coplilla: tokens=283, perplexity=1.5416
Moreno-Torroba_Castles_Spain_Zafra: tokens=662, perplexity=1.4458
Moreno-Torroba_Moros: tokens=438, perplexity=1.6618
Moreno-Torroba_Sonatina_Allegretto: tokens=930, perplexity=1.8028
Moreno_Torroba_Siete_Piezas_3Minueto_Majo: tokens=626, perplexity=1.4334
Moreno_Torroba_Siete_Piezas_4Ay_Malaguena: tokens=530, perplexity=1.5038
Moreno_Torroba_Siete_Piezas_5Aire_Vasco: tokens=335, perplexity=1.4082
Moreno_Torroba_Siete_Piezas_6Segoviana: tokens=684, perplexity=1.4843
Moreno_Torroba_Siete_Piezas_7Bolero_Menorquin: tokens=615, perplexity=1.6083
Mozart_Duet_pour_flute_et_guitare_Deutscher_Tanz: tokens=186, perplexity=1.7352
Mozart_Sonata_KV545_2Andante: tokens=504, perplexity=1.9611
Mozart_Tamino: tokens=1015, perplexity=1.5409
Mudarra_Conde_Claros: tokens=1023, perplexity=1.2286
Mudarra_Fantasia%20XI: tokens=541, perplexity=1.3031
Mudarra_Fantasia_I: tokens=204, perplexity=1.7258
Mudarra_Fantasia_Luduvico: tokens=474, perplexity=1.6714
Mudarra_Gallarda: tokens=377, perplexity=1.5074
Mudarra_Romanesca%20II: tokens=281, perplexity=1.3957
Mudarra_Romanesca_Guardama_Vacas: tokens=424, perplexity=1.4708
