----------------------------------------
Global Perplexity over 521 songs: 1.1674
----------------------------------------

Falla_LaVida_Breve_SpanishDance_No1: tokens=1023, perplexity=1.1665
Falla_Nana: tokens=314, perplexity=1.0883
Falla_Serenata_Andaluza: tokens=1023, perplexity=1.2439
Falu_Alla_en_Sur: tokens=596, perplexity=1.2455
Ferranti_Capricho_Fantastico_Nuit_Walpurgis: tokens=1022, perplexity=1.1636
Ferranti_Seis_Nocturnos_Biblicos_Op3_No2: tokens=421, perplexity=1.2829
Ferrer_Brisas_del_Parnaso_No3Nocturno: tokens=858, perplexity=1.1622
Ferrer_Ejercicio_E_minor: tokens=361, perplexity=1.1240
Ferrer_Gondolero_Op51: tokens=518, perplexity=1.2458
Ferrer_Horas_Apacibles_No7Minue: tokens=494, perplexity=1.1205
Ferrer_Mensagero: tokens=1023, perplexity=1.1117
Garoto_Despedida: tokens=1023, perplexity=1.0698
Garoto_Gente_Humilde: tokens=274, perplexity=1.1714
Garoto_Sinal_dos_Tempos: tokens=822, perplexity=1.1718
GillesLouise_Impromptu_Dmineur: tokens=1023, perplexity=1.1540
GillesLouise_Lento: tokens=1023, perplexity=1.1068
GillesLouise_Prelude_en_mi_mineur: tokens=478, perplexity=1.3492
GillesLouise_Rhapsodie_estuaire: tokens=1021, perplexity=1.1413
GillesLouise_Serenade: tokens=1023, perplexity=1.0874
Giuliani_Andante_D: tokens=115, perplexity=1.0980
Giuliani_Bagatelle_Chitarra_Op73_No4: tokens=243, perplexity=1.1445
Giuliani_Bagatelle_Chitarra_Op73_No9: tokens=391, perplexity=1.0996
Giuliani_Cahier%20II_Rondo_No1: tokens=1023, perplexity=1.1309
Giuliani_Etude_No16_Op48: tokens=191, perplexity=1.2266
Giuliani_Etude_No18_Op48: tokens=161, perplexity=1.2015
Giuliani_Etude_No20_Op48: tokens=192, perplexity=1.1230
Giuliani_Etudes_Op1_Pt3_No2: tokens=63, perplexity=1.3344
Giuliani_Etudes_Op1_Pt4_No6: tokens=152, perplexity=1.1855
Giuliani_Etudes_Op1_Pt4_No8: tokens=211, perplexity=1.2777
Giuliani_Gran_Duetto_Concertante_Op52: tokens=1023, perplexity=1.1071
Giuliani_Landler_No5_Op94: tokens=259, perplexity=1.0454
Giuliani_Landler_No7_Op55: tokens=255, perplexity=1.0617
Giuliani_Marche_Opera_Les_Deux_Journees_Cherubini: tokens=1023, perplexity=1.1913
Giuliani_Op1_Parte2_No10: tokens=121, perplexity=1.1720
Giuliani_Op1_Parte2_No8: tokens=111, perplexity=1.1858
Giuliani_Op51_No11: tokens=198, perplexity=1.1288
Giuliani_Op51_No18: tokens=337, perplexity=1.1586
Giuliani_Op74_No13_Menuetto: tokens=581, perplexity=1.0490
Giuliani_Papillon_Op50_No14: tokens=71, perplexity=1.2277
Giuliani_Papillon_Op50_No31: tokens=142, perplexity=1.2352
Giuliani_Papillon_Op50_No6: tokens=185, perplexity=1.1620
Giuliani_Polonaise_Concertante_No3_Op137: tokens=1019, perplexity=1.1631
Giuliani_Rondeau_No2_Op66: tokens=1023, perplexity=1.1937
Giuliani_Rondeau_Op14_No5: tokens=554, perplexity=1.1016
Giuliani_Rondo_No1_Op94: tokens=1023, perplexity=1.1072
Giuliani_Rossiniana_No1_Op119_Andante_graciozo_maestoso_moderato: tokens=965, perplexity=1.2412
Giuliani_Rossiniana_No5_Op123: tokens=1023, perplexity=1.2579
Giuliani_Rossiniana_No6_Op124: tokens=1023, perplexity=1.2526
Giuliani_Semiramide: tokens=1023, perplexity=1.1349
Giuliani_Tersicore_Op147_No2: tokens=308, perplexity=1.1300
Giuliani_Tersicore_Op147_No5: tokens=445, perplexity=1.0829
Giuliani_Variations_Handel_Op107: tokens=1023, perplexity=1.0735
Gnattali_Estudo_No1: tokens=703, perplexity=1.1385
Granados_Arabesca_No12_Op37: tokens=1023, perplexity=1.1345
Granados_Danza_Espagnola_No7_Op37: tokens=1013, perplexity=1.1404
Granados_Villanesca_Op37_No4: tokens=1015, perplexity=1.1285
Haendel_Menuet_HWV500: tokens=180, perplexity=1.0979
Handel_Aylesford_Menuet_in_D: tokens=360, perplexity=1.1420
Handel_Suite_No11_Courante: tokens=729, perplexity=1.1415
Holborne_French_Toy: tokens=351, perplexity=1.0871
Holborne_Heigh_Ho_Holiday: tokens=272, perplexity=1.1855
Holborne_The_Farewell: tokens=577, perplexity=1.2411
Jobim_Insensatez: tokens=665, perplexity=1.1170
Jobim_Luiza: tokens=852, perplexity=1.1668
Lauro_Nino: tokens=508, perplexity=1.1797
Lauro_Valse_Venezolano_No4: tokens=893, perplexity=1.1060
Lauro_Virgilio: tokens=1023, perplexity=1.0955
Lawes_Suite_Alman: tokens=454, perplexity=1.2402
Lawes_Suite_Corant1: tokens=364, perplexity=1.2620
Lawes_Suite_Corant2: tokens=454, perplexity=1.2800
Lawes_Why_So_Pale: tokens=160, perplexity=1.2385
LeRoy_Cinquieme_Branle_Bourgogne: tokens=88, perplexity=1.3167
Leclercq_Mediane: tokens=864, perplexity=1.3841
Leclercq_Parallele: tokens=352, perplexity=1.5132
Leclercq_Six_Couleurs_Arlequin: tokens=356, perplexity=1.2436
Leclercq_Six_Couleurs_Cyclamen: tokens=268, perplexity=1.2336
Leclercq_Six_Couleurs_Noir: tokens=198, perplexity=1.4487
Leclercq_Six_Couleurs_Orange: tokens=266, perplexity=1.1934
Leclercq_Six_Couleurs_Pourpre: tokens=221, perplexity=1.2168
Leclercq_Six_Couleurs_Turquoise: tokens=199, perplexity=1.2623
Legnani_Caprice_No13_Op20: tokens=430, perplexity=1.1723
Legnani_Caprice_No24_Op20: tokens=694, perplexity=1.0696
Legnani_Caprice_No3_Op20: tokens=407, perplexity=1.1242
Legnani_Caprice_No5_Op250: tokens=482, perplexity=1.0639
Legnani_Recueil_Melodies_Modernes_Deuxieme_Op222_No2: tokens=1023, perplexity=1.1981
Llobet_Mazurka: tokens=1023, perplexity=1.1814
Llobet_Prelude_Original: tokens=154, perplexity=1.3752
Logy_Partita_Am_4Cappricio(Corrente): tokens=246, perplexity=1.1037
Losy_Suite_Do_Majeur_Gigue: tokens=428, perplexity=1.1661
Losy_Suite_No1_Gavotte: tokens=274, perplexity=1.1423
Louise_Fantaisie: tokens=1023, perplexity=1.2868
Louise_Gigue: tokens=1023, perplexity=1.1905
Louise_Gymnopedie: tokens=287, perplexity=1.1183
Louise_Reconciliation: tokens=1023, perplexity=1.0476
Lucia_Rio_Ancho: tokens=1020, perplexity=1.1946
Machado_Baiaozinho: tokens=407, perplexity=1.0589
Machado_Caterete: tokens=102, perplexity=1.1460
Machado_Estudio_No1: tokens=607, perplexity=1.1960
Machado_Frevo: tokens=746, perplexity=1.0430
Machado_Marchinha_de_carnaval: tokens=281, perplexity=1.1075
Machado_Pacoca: tokens=1023, perplexity=1.1047
Machado_duos_para_violao_Chorinho_la_mineur: tokens=251, perplexity=1.1400
Machado_duos_para_violao_Modinha: tokens=233, perplexity=1.1275
Machado_duos_para_violao_Sambinha: tokens=736, perplexity=1.0638
Maertz_Satanella_(Pugni)_Op8_No28: tokens=1023, perplexity=1.2090
Mendelssohn_Canzonetta_Op12: tokens=1023, perplexity=1.1207
Mertz_20Die_vier_Haimonskinder_Op8_No9: tokens=1023, perplexity=1.2546
Mertz_Anna_Bolena_Op8_No6%20: tokens=1017, perplexity=1.1414
Mertz_Bardenklange_Polonaise2_Op13_No12: tokens=734, perplexity=1.1403
